"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Borja Mayoral","ESP","Roma","Serie A","2020-2021","1729.19","24.1","24","FW","Finisher","1490","17","22.67","77.33","Right","1.4","0.06","4.99","1.63","0.3","0.05","","","","",""
"Christian Pulisic","USA","Chelsea","Premier League","2020-2021","1916.31","22.64","23","FW,MF","Dribbler","1468","15","15.69","84.31","Right","1.4","0.03","4.39","1.47","0.27","0.03","","","60000000","",""
"Bernardo Espinosa","COL","Girona","La Liga","2017-2018","1662.4","28","32","DF","LowBlockCentralDefender","2868","32","14.9","85.1","Right","1.4","-0.01","3.89","1.47","0.12","-0.01","","","","",""
"Renato Tapia","PER","Celta Vigo","La Liga","2020-2021","1713.34","25.79","26","MF","DefensiveCentralProgressor","2701","32","13.88","86.12","Right","1.4","-0.01","3.46","1.47","0.12","-0.01","","","","",""
"Steven Nzonzi","FRA","Sevilla","La Liga","2017-2018","1762.39","28","33","MF","DefensiveCentralProgressor","2216","26","8.33","91.67","Right","1.4","0.01","3.46","1.47","0.14","0.02","","","","",""
"Salomon Rondon","VEN","West Brom","Premier League","2017-2018","1617.33","27","32","FW","Finisher","2767","32","17.59","82.41","Right","1.4","-0.08","4.99","1.63","0.16","-0.09","","","","",""
"Dominique Badji","SEN","Colorado","MLS","2018","","25","29","FW","Finisher","1340","15","49.05","50.95","Dual","1.4","0.09","4.99","1.63","0.34","0.09","","","","","306531"
"Justin Kluivert","NED","Roma","Serie A","2018-2019","1747.43","19","22","FW","Dribbler","1341","14","14.45","85.55","Right","1.4","-0.04","3.13","0.21","0.21","-0.03","3769423","2847132","20000000","",""
"Leandro Trossard","BEL","Brighton","Premier League","2019-2020","1658.11","24","27","FW,MF","Playmaker","2011","22","22.99","77.01","Right","1.4","0","5.33","1.62","0.24","0.01","","","13000000","12450530",""
"Dalbert Henrique","BRA","Fiorentina","Serie A","2019-2020","1633.43","25","28","DF","OffensiveWideProgressor","2484","29","89.57","10.43","Left","1.4","-0.01","4.82","1.67","0.17","0","","","","",""
"Jack Stephens","ENG","Southampton","Premier League","2017-2018","1649.49","23","27","DF","LowBlockCentralDefender","1980","22","8.11","91.89","Right","1.39","0.02","3.46","1.04","0.16","0.02","","","5500000","",""
"Christophe Herelle","MTQ","Troyes","Ligue 1","2017-2018","1461.59","24","29","DF","LowBlockCentralDefender","2958","34","12.08","87.92","Right","1.39","-0.01","3.88","1.46","0.12","-0.01","","","","",""
"Diego Farias","BRA","Empoli","Serie A","2018-2019","1547.51","28","31","FW","Finisher","1193","16","13.21","86.79","Right","1.39","0.13","4.98","1.62","0.38","0.13","1023501","2741839","","",""
"Victor Rodriguez","ESP","Seattle","MLS","2018","","28","32","FW,MF","Dribbler","1257","14","26.02","73.98","Right","1.39","0.08","4.45","1.52","0.32","0.08","1087500","853228","","","273360"
"Issiaga Sylla","GUI","Toulouse","Ligue 1","2018-2019","1491.43","24","27","DF,MF","DefensiveWideProgressor","1994","23","87.8","12.2","Left","1.39","0.03","4.25","1.57","0.19","0.03","612969","959510","2800000","",""
"Kim Kee-hee","KOR","Seattle","MLS","2019","","29","32","DF","PossessionOrientedCentralDefender","2603","30","8.51","91.49","Right","1.39","0","4.41","1.62","0.15","0","772000","708038","","","270902"
"Alex Berenguer","ESP","Torino","Serie A","2018-2019","1692.6","23","26","MF,FW","Dribbler","1486","15","16.77","83.23","Right","1.39","0.03","4.38","1.46","0.27","0.03","1465698","2136101","10000000","",""
"Pere Pons","ESP","Girona","La Liga","2018-2019","1622.19","25","28","MF","DefensiveCentralProgressor","2792","32","19.76","80.24","Right","1.39","-0.01","3.45","1.45","0.11","-0.01","1078917","1795121","","",""
"Vladimir Darida","CZE","Hertha BSC","Bundesliga","2019-2020","1648.52","28","31","MF","AttackingCentralProgressor","2256","25","22.65","77.35","Right","1.39","0.01","4.52","1.76","0.18","0.01","2817172","2950606","5500000","5442723",""
"Robin Quaison","SWE","Mainz 05","Bundesliga","2018-2019","1650.15","24","28","FW,MF","Finisher","2194","25","10.51","89.49","Right","1.39","-0.04","4.97","1.62","0.2","-0.05","882133","1690113","10500000","",""
"Makoto Hasebe","JPN","Eint Frankfurt","Bundesliga","2019-2020","1705.51","35","37","DF,MF","PossessionOrientedCentralDefender","1968","21","21.18","78.82","Right","1.39","0.03","4.14","1.35","0.19","0.03","1176178","1798421","800000","1173383",""
"Callum Wilson","ENG","Bournemouth","Premier League","2017-2018","1669.7","25","29","FW","Finisher","1981","23","15.14","84.86","Right","1.39","-0.02","4.97","1.61","0.23","-0.02","","","20000000","",""
"Ivan Cavaleiro","POR","Fulham","Premier League","2020-2021","1634.17","27.56","28","FW,MF","Dribbler","2202","24","15.02","84.98","Right","1.38","-0.06","4.44","1.52","0.18","-0.06","","","","",""
"Fabian Ruiz Pena","ESP","Napoli","Serie A","2020-2021","1799.36","25.1","25","MF","AttackingCentralProgressor","2299","26","91.2","8.8","Left","1.38","0.01","4.51","1.76","0.18","0.01","","","","",""
"Daniele Baselli","ITA","Torino","Serie A","2018-2019","1692.6","26","29","MF","AttackingCentralProgressor","2379","27","11.57","88.43","Right","1.38","0","4.51","1.75","0.17","0.01","2932527","2882736","7000000","",""
"Jean-Eudes Aholou","CIV","Strasbourg","Ligue 1","2017-2018","1482.96","23","27","MF","DefensiveCentralProgressor","3006","35","78.33","21.67","Left","1.38","-0.02","3.37","1.38","0.1","-0.02","","","","",""
"Jorge Miramon","ESP","Levante","La Liga","2019-2020","1698.34","30","32","DF","DefensiveWideProgressor","2432","27","5.32","94.68","Right","1.38","0","4.24","1.57","0.16","0","","","2500000","2894455",""
"Stefan Radu","ROU","Lazio","Serie A","2020-2021","1756.16","34.55","35","DF","DefensiveWideProgressor","2165","26","90.19","9.81","Left","1.38","0","3.67","1","0.15","-0.01","","","","",""
"Bakaye Dibassy","MLI","Amiens","Ligue 1","2017-2018","1530.84","27","32","DF","PossessionOrientedCentralDefender","2778","31","84.17","15.83","Left","1.38","-0.01","4.4","1.61","0.14","-0.01","","","2000000","",""
"Joshua King","NOR","Bournemouth","Premier League","2019-2020","1633.84","27","29","FW,MF","Finisher","2011","24","10.61","89.39","Right","1.38","-0.02","4.97","1.61","0.22","-0.03","3087232","3852952","16000000","11928733",""
"Bouna Sarr","GUI","Marseille","Ligue 1","2019-2020","1678.85","27","29","DF,FW","OffensiveWideProgressor","2164","25","10.8","89.2","Right","1.38","0.02","4.8","1.65","0.2","0.02","2163488","3002943","9000000","12660930",""
"Sergio Canales","ESP","Betis","La Liga","2020-2021","1722.99","30.23","30","MF,FW","Playmaker","2404","27","91.08","8.92","Left","1.38","-0.06","5.04","1.34","0.19","-0.04","","","20000000","",""
"Weston McKennie","USA","Juventus","Serie A","2020-2021","1830.86","22.7","23","MF","AttackingCentralProgressor","1626","18","19.83","80.17","Right","1.38","0.06","4.02","1.27","0.22","0.06","","","","",""
"Issa Diop","FRA","West Ham","Premier League","2018-2019","1729.39","21","24","DF","LowBlockCentralDefender","2970","33","14.81","85.19","Right","1.38","-0.03","3.44","1.02","0.1","-0.03","4596546","2903251","28000000","",""
"Hassane Kamara","FRA","Nice","Ligue 1","2020-2021","1567.59","26.64","27","DF","OffensiveWideProgressor","2780","32","86.75","13.25","Left","1.38","-0.03","4.8","1.65","0.16","-0.02","","","","",""
"Matteo Ricci","ITA","Spezia","Serie A","2020-2021","1518.89","26.96","27","MF","DefensiveCentralProgressor","2127","25","10.34","89.66","Right","1.37","0.02","3.43","1.44","0.15","0.02","","","","",""
"Rayan Ait Nouri","FRA","Angers","Ligue 1","2019-2020","1568.74","18","20","DF","DefensiveWideProgressor","1282","16","88.5","11.5","Left","1.37","0.03","2.47","-0.21","0.17","0.01","67291","965618","20000000","5400839",""
"Martin Terrier","FRA","Strasbourg","Ligue 1","2017-2018","1482.96","20","24","FW,MF","Finisher","1671","19","10.71","89.29","Right","1.37","-0.02","4.37","1.01","0.24","-0.01","","","","",""
"Nahitan Nandez","URU","Cagliari","Serie A","2020-2021","1588.3","25.37","26","MF,DF","OffensiveWideProgressor","2512","28","6.3","93.7","Right","1.37","-0.01","4.79","1.64","0.17","-0.01","","","23000000","",""
"Ashley Westwood","ENG","Burnley","Premier League","2018-2019","1681.7","28","31","MF","AttackingCentralProgressor","2824","31","7.1","92.9","Right","1.37","-0.03","4.5","1.74","0.14","-0.02","2126760","3779694","5500000","",""
"Alexander Djiku","GHA","Strasbourg","Ligue 1","2019-2020","1577.77","24","27","DF,MF","PossessionOrientedCentralDefender","2064","23","16.35","83.65","Right","1.37","0.04","4.39","1.6","0.19","0.04","","","6500000","5672347",""
"Mikel Rico","ESP","Huesca","La Liga","2020-2021","1609.55","36.52","37","MF","AttackingCentralProgressor","1982","24","8.84","91.16","Right","1.37","-0.02","2.6","-0.16","0.12","-0.05","","","","",""
"Damien Da Silva","FRA","Rennes","Ligue 1","2018-2019","1615.97","30","33","DF","LowBlockCentralDefender","2874","32","1.84","98.16","Right","1.37","-0.01","3.86","1.44","0.12","-0.01","878740","1214146","4000000","",""
"Alexis Claude-Maurice","FRA","Nice","Ligue 1","2020-2021","1567.59","22.93","23","MF,FW","Dribbler","1872","20","9.83","90.17","Right","1.37","-0.03","4.36","1.44","0.21","-0.03","","","8000000","",""
"Marko Grujic","SRB","Hertha BSC","Bundesliga","2018-2019","1636.97","22","25","MF","AttackingCentralProgressor","1780","20","17.23","82.77","Right","1.37","0.04","4.01","1.26","0.2","0.04","1637601","1895650","","",""
"Juraj Kucka","SVK","Parma","Serie A","2020-2021","1499.83","34.2","34","MF,FW","AttackingCentralProgressor","2334","28","29.54","70.46","Right","1.37","-0.01","3.93","1.17","0.15","-0.01","","","4000000","",""
"Eric Dier","ENG","Tottenham","Premier League","2020-2021","1819.22","27.32","27","DF","LowBlockCentralDefender","2340","26","16.76","83.24","Right","1.37","0.02","3.86","1.44","0.15","0.02","","","20000000","",""
"Ashley Young","ENG","Manchester Utd","Premier League","2017-2018","1880.94","32","36","DF","OffensiveWideProgressor","2442","28","16.76","83.24","Right","1.37","0","4.99","1.84","0.18","0","","","3000000","",""
"Jason Denayer","BEL","Lyon","Ligue 1","2019-2020","1694.29","24","26","DF","LowBlockCentralDefender","2131","24","6.76","93.24","Right","1.37","0.03","3.85","1.44","0.16","0.03","2253963","2256614","12000000","12616433",""
"Nuno da Costa","CPV","Strasbourg","Ligue 1","2018-2019","1552.1","27","30","FW","Finisher","2052","22","8.55","91.45","Right","1.37","-0.03","4.95","1.59","0.22","-0.03","","","","",""
"Nestor Araujo","MEX","Celta Vigo","La Liga","2019-2020","1668.71","27","30","DF","LowBlockCentralDefender","2888","32","21.28","78.72","Right","1.37","-0.01","3.85","1.44","0.12","-0.01","1714505","1449071","7000000","8441910",""
"Habib Diallo","SEN","Metz","Ligue 1","2019-2020","1546.36","24","26","FW","Finisher","2196","26","14.2","85.8","Right","1.36","-0.04","4.95","1.59","0.2","-0.05","","","12000000","11258523",""
"Victor Lindelof","SWE","Manchester Utd","Premier League","2020-2021","1929.4","26.82","27","DF","PossessionOrientedCentralDefender","2405","27","15.87","84.13","Right","1.36","0.01","4.38","1.59","0.16","0.01","","","28000000","",""
"Pablo","BRA","Bordeaux","Ligue 1","2019-2020","1587.32","28","30","DF","LowBlockCentralDefender","2173","25","29.93","70.07","Right","1.36","0.03","3.85","1.43","0.16","0.03","812015","1227391","8000000","7438362",""
"Tomas Rincon","VEN","Torino","Serie A","2017-2018","1677.54","29","33","MF","DefensiveCentralProgressor","2995","35","10.78","89.22","Right","1.36","-0.02","3.41","1.42","0.1","-0.02","","","4500000","",""
"Otavio","BRA","Bordeaux","Ligue 1","2018-2019","1553.36","24","27","MF","DefensiveCentralProgressor","2875","33","10.41","89.59","Right","1.36","-0.02","3.41","1.42","0.11","-0.02","1093619","1003328","6500000","",""
"Loren Moron","ESP","Betis","La Liga","2019-2020","1666.35","25","28","FW","Finisher","2031","21","6.98","93.02","Right","1.35","-0.03","4.94","1.58","0.22","-0.03","","","15000000","15477097",""
"Zinedine Ferhat","ALG","Nimes","Ligue 1","2019-2020","1536.28","26","28","FW,MF","Playmaker","2246","25","7.12","92.88","Right","1.35","-0.02","5.29","1.58","0.21","-0.02","","","","",""
"Kevin Kampl","SVN","RB Leipzig","Bundesliga","2018-2019","1781.53","27","31","MF","AttackingCentralProgressor","2113","25","8.7","91.3","Right","1.35","0.02","4.48","1.73","0.19","0.03","3944719","2750700","14000000","",""
"Didac Vila","ESP","Espanyol","La Liga","2019-2020","1607.97","30","32","DF","DefensiveWideProgressor","2492","28","87.28","12.72","Left","1.35","-0.01","4.21","1.54","0.15","-0.01","934156","1355584","","",""
"Oier Sanjurjo","ESP","Osasuna","La Liga","2019-2020","1695.54","33","35","MF","DefensiveCentralProgressor","2320","27","15.8","84.2","Right","1.35","0.01","3.25","1.26","0.13","0","","","","",""
"Daniel Congre","FRA","Montpellier","Ligue 1","2017-2018","1590.91","32","36","DF","PossessionOrientedCentralDefender","2635","29","28.9","71.1","Right","1.35","-0.02","4.1","1.31","0.14","-0.01","","","400000","",""
"Pavel Kaderabek","CZE","Hoffenheim","Bundesliga","2019-2020","1729.86","27","29","DF,MF","OffensiveWideProgressor","2474","28","9.96","90.04","Right","1.35","-0.01","4.77","1.62","0.17","-0.01","2261880","2702513","","",""
"Marcelo","BRA","Real Madrid","La Liga","2018-2019","1837.72","30","33","DF","OffensiveWideProgressor","1853","21","84.33","15.67","Left","1.35","0.05","4.77","1.62","0.23","0.05","22618800","15340268","12000000","",""
"Jonas Hofmann","GER","M'Gladbach","Bundesliga","2020-2021","1747.15","28.82","29","FW,MF","AttackingCentralProgressor","1737","20","15.04","84.96","Right","1.35","0.06","4.48","1.72","0.23","0.07","","","9000000","",""
"Angel Rodriguez","ESP","Getafe","La Liga","2018-2019","1757.47","31","34","FW","Finisher","1819","20","15.48","84.52","Right","1.35","0","5.17","1.81","0.26","0.01","1031417","4278365","4000000","",""
"Goncalo Guedes","POR","Valencia","La Liga","2020-2021","1689.15","24.45","25","MF,FW","Dribbler","2031","24","8.54","91.46","Right","1.35","-0.04","4.4","1.48","0.2","-0.04","","","","",""
"Nacho Vidal","ESP","Osasuna","La Liga","2019-2020","1695.54","24","26","DF","DefensiveWideProgressor","2332","26","7.81","92.19","Right","1.35","0","4.21","1.53","0.16","0","","","2500000","5534083",""
"Aissa Mandi","ALG","Betis","La Liga","2020-2021","1722.99","29.55","30","DF","PossessionOrientedCentralDefender","2392","27","10.2","89.8","Right","1.34","0.01","4.36","1.57","0.16","0.01","","","10000000","",""
"Antonee Robinson","USA","Fulham","Premier League","2020-2021","1634.17","23.76","24","DF","OffensiveWideProgressor","2162","24","84.73","15.27","Left","1.34","0.02","4.77","1.61","0.2","0.02","","","","",""
"Gylfi Sigurdsson","ISL","Everton","Premier League","2019-2020","1720.04","29","32","MF","AttackingCentralProgressor","2560","28","16.75","83.25","Right","1.34","-0.01","4.47","1.71","0.16","-0.01","6860516","4050291","","",""
"Simone Missiroli","ITA","SPAL","Serie A","2018-2019","1550.09","32","35","MF","DefensiveCentralProgressor","2741","33","14.29","85.71","Right","1.34","-0.01","3.24","1.25","0.11","-0.02","1465698","1342643","1200000","",""
"Luca Ceppitelli","ITA","Cagliari","Serie A","2018-2019","1531.8","28","32","DF","LowBlockCentralDefender","2051","24","22.23","77.77","Right","1.34","0.04","3.83","1.41","0.17","0.03","1256474","1590019","2500000","",""
"Mattia Bani","ITA","Chievo","Serie A","2018-2019","1442.57","24","28","DF","LowBlockCentralDefender","2610","29","7.47","92.53","Right","1.34","0","3.83","1.41","0.13","0","523625","1114212","","",""
"Milan Skriniar","SVK","Inter","Serie A","2020-2021","1899.78","26.24","26","DF","PossessionOrientedCentralDefender","2597","29","13.04","86.96","Right","1.34","-0.01","4.35","1.57","0.15","0","","","50000000","",""
"Victor Laguardia","ESP","Alaves","La Liga","2019-2020","1642.09","29","32","DF","LowBlockCentralDefender","2654","31","7.42","92.58","Right","1.34","0","3.82","1.41","0.13","0","789396","1295635","","",""
"Yeray Alvarez","ESP","Athletic Club","La Liga","2019-2020","1720.37","24","26","DF","PossessionOrientedCentralDefender","2810","32","7.1","92.9","Right","1.34","-0.02","4.35","1.56","0.14","-0.02","1755219","1595866","24000000","21976483",""
"Marius Bulter","GER","Union Berlin","Bundesliga","2019-2020","1600.27","26","28","MF,FW","Dribbler","2321","28","35.36","64.64","Right","1.33","-0.07","4.39","1.46","0.17","-0.07","","","3000000","4782860",""
"Dwight Gayle","ENG","Newcastle Utd","Premier League","2017-2018","1666.88","26","31","FW","Finisher","1958","23","22.53","77.47","Right","1.33","-0.02","4.92","1.56","0.23","-0.02","","","9500000","",""
"Damir Kreilach","CRO","Real Salt Lake","MLS","2019","","29","32","MF,FW","AttackingCentralProgressor","2656","32","13.86","86.14","Right","1.33","-0.02","4.46","1.7","0.15","-0.01","1082102","972729","1800000","","273974"
"Andrea Barberis","ITA","Crotone","Serie A","2017-2018","1542.79","23","28","MF","DefensiveCentralProgressor","3029","34","15.29","84.71","Right","1.33","-0.02","3.32","1.33","0.1","-0.02","","","","",""
"Ximo Navarro","ESP","Alaves","La Liga","2020-2021","1620.7","31.3","31","DF","DefensiveWideProgressor","2277","27","14.21","85.79","Right","1.33","-0.01","3.62","0.95","0.14","-0.02","","","","",""
"Unai Bustinza","ESP","Leganes","La Liga","2019-2020","1663.56","27","29","DF","PossessionOrientedCentralDefender","2684","31","4.37","95.63","Right","1.33","-0.01","4.34","1.56","0.15","-0.01","758861","1591479","","",""
"Jonathan Mensah","GHA","Columbus","MLS","2018","","27","31","DF","PossessionOrientedCentralDefender","2347","26","9.7","90.3","Right","1.33","0.01","4.34","1.56","0.17","0.01","868996","732616","800000","","266602"
"Amadou Haidara","MLI","RB Leipzig","Bundesliga","2020-2021","1825.31","23.27","23","MF,FW","AttackingCentralProgressor","1770","20","11.97","88.03","Right","1.33","0.06","4.46","1.7","0.23","0.06","","","15500000","",""
